Name,FullName,Extension,CreationTime
_הילולת_הבבא_סאלי.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\999\_הילולת_הבבא_סאלי.mp4,.mp4,7/30/2024 12:44:05 AM
_הפילהרמונית_של_קראקוב_ומלכות_הפתיעו_את_מונה_רוזנבלום_באמצע__חזרות_לדינר_של_סקיוורא_בפולין.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\999\_הפילהרמונית_של_קראקוב_ומלכות_הפתיעו_את_מונה_רוזנבלום_באמצע__חזרות_לדינר_של_סקיוורא_בפולין.mp4,.mp4,7/30/2024 12:44:22 AM
_שוטר_מבקש_מהציבור_להיזהר_בהילולת_הבבא_סאלי.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\999\_שוטר_מבקש_מהציבור_להיזהר_בהילולת_הבבא_סאלי.mp4,.mp4,7/30/2024 12:54:35 AM
_קדיש_על_קבר_יהודי_בעזה.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\999\_קדיש_על_קבר_יהודי_בעזה.mp4,.mp4,7/30/2024 12:46:17 AM
_אין_להשליך_סיגריות_דולקות_בשטח.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\999\_אין_להשליך_סיגריות_דולקות_בשטח.mp4,.mp4,7/30/2024 12:52:54 AM
_משעמם_בעזה.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\999\_משעמם_בעזה.mp4,.mp4,7/30/2024 12:46:07 AM
_משעמם_בעזה_.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\999\_משעמם_בעזה_.mp4,.mp4,7/30/2024 12:53:34 AM
_השמדת_משגרי_רקטות.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\999\_השמדת_משגרי_רקטות.mp4,.mp4,7/30/2024 12:53:29 AM
_מתאים_למגש.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\999\_מתאים_למגש.mp4,.mp4,7/30/2024 12:54:01 AM
_אין_דלק_יש_סוסים.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\999\_אין_דלק_יש_סוסים.mp4,.mp4,7/30/2024 12:53:08 AM
_התהפך.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\999\_התהפך.mp4,.mp4,7/30/2024 12:53:37 AM
_הוועידה_של_חסידות_סקווירא_בפולין_.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\999\_הוועידה_של_חסידות_סקווירא_בפולין_.mp4,.mp4,7/30/2024 12:53:12 AM
_הוועידה_של_חסידות_סקווירא_בפולין.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\999\_הוועידה_של_חסידות_סקווירא_בפולין.mp4,.mp4,7/30/2024 12:53:08 AM
_הבר_מצווה_של_בנו_של_נגיד_חרדי_בעלות_של_מיליונים.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\999\_הבר_מצווה_של_בנו_של_נגיד_חרדי_בעלות_של_מיליונים.mp4,.mp4,7/30/2024 12:43:40 AM
_לא_בעלי_לב_חלש___החותים_מפרסמים_סרטון_אימונים_שלהם_בתימן.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\999\_לא_בעלי_לב_חלש___החותים_מפרסמים_סרטון_אימונים_שלהם_בתימן.mp4,.mp4,7/30/2024 12:45:42 AM
_זוכה_פרס_נובל__על_מרן_הגר__י_זילברשטיין_שליט__א.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\999\_זוכה_פרס_נובל__על_מרן_הגר__י_זילברשטיין_שליט__א.mp4,.mp4,7/30/2024 12:45:00 AM
_פשיטה_על_בית_הנופש_של_בכיר_חמאס_מרואן_עיסא.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\998\_פשיטה_על_בית_הנופש_של_בכיר_חמאס_מרואן_עיסא.mp4,.mp4,7/30/2024 12:50:48 AM
_מיקי_לוי_מיש_עתיד_מציע_לשחרר_6000_מחבלים_ולסיים_את_המלחמה.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\998\_מיקי_לוי_מיש_עתיד_מציע_לשחרר_6000_מחבלים_ולסיים_את_המלחמה.mp4,.mp4,7/30/2024 12:49:13 AM
_מלכות_בדרך_לועידת_סקווירא.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\998\_מלכות_בדרך_לועידת_סקווירא.mp4,.mp4,7/30/2024 12:49:43 AM
_ריקוד_המטאטא_של_משפחת_קלצקין.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\998\_ריקוד_המטאטא_של_משפחת_קלצקין.mp4,.mp4,7/30/2024 12:51:17 AM
_נשק_בחדר_ילדים.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\998\_נשק_בחדר_ילדים.mp4,.mp4,7/30/2024 12:50:05 AM
_עצרת_האלפים_בכותל.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\998\_עצרת_האלפים_בכותל.mp4,.mp4,7/30/2024 12:56:14 AM
_מנהל_הגימנסיה_הרצליה_נגד_הנחת_תפילין.mp4,G:\.shortcut-targets-by-id\1fReJ4DF_-zQ7B4ZoXQQmXMUk2pgxQVxM\סרטים כשרים ומשחקים\המעניינים\951-1000\998\_מנהל_הגימנסיה_הרצליה_נגד_הנחת_תפילין.mp4,.mp4,7/30/2024 12:56:16 AM
